<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.07	15:07:00	3027.43	3029.24	3027.27	3027.96	106	0	17
2025.04.07	15:08:00	3027.67	3028.11	3026.13	3027.11	98	0	10
2025.04.07	15:09:00	3027.28	3028.91	3027.15	3028.91	97	0	17
2025.04.07	15:10:00	3028.76	3028.76	3026.75	3026.98	93	0	17
2025.04.07	15:11:00	3026.93	3028.58	3026.64	3027.27	99	0	17
2025.04.07	15:12:00	3027.24	3027.35	3026.05	3026.51	96	0	17
2025.04.07	15:13:00	3026.49	3027.11	3025.49	3025.82	98	0	17
2025.04.07	15:14:00	3025.69	3026.96	3025.07	3025.76	96	0	17
2025.04.07	15:15:00	3025.75	3030.03	3024.41	3029.62	109	0	17
2025.04.07	15:16:00	3029.22	3030.53	3028.51	3030.07	104	0	17
2025.04.07	15:17:00	3030.18	3030.68	3028.16	3028.40	93	0	17
2025.04.07	15:18:00	3028.50	3030.19	3027.82	3029.45	108	0	17
2025.04.07	15:19:00	3029.42	3031.38	3029.34	3030.08	105	0	14
2025.04.07	15:20:00	3028.77	3029.87	3026.35	3029.24	112	0	17
2025.04.07	15:21:00	3029.21	3029.82	3027.60	3029.47	107	0	17
2025.04.07	15:22:00	3029.54	3031.50	3028.58	3029.93	109	0	17
2025.04.07	15:23:00	3029.92	3030.39	3028.64	3029.25	107	0	17
2025.04.07	15:24:00	3029.49	3030.93	3028.57	3029.17	112	0	17
2025.04.07	15:25:00	3029.41	3030.98	3029.07	3029.15	110	0	17
2025.04.07	15:26:00	3029.44	3030.66	3027.98	3028.05	107	0	17
2025.04.07	15:27:00	3028.05	3029.17	3027.63	3027.68	107	0	17
2025.04.07	15:28:00	3027.72	3028.30	3025.77	3027.74	104	0	17
2025.04.07	15:29:00	3027.64	3028.16	3026.50	3026.64	110	0	17
2025.04.07	15:30:00	3026.80	3029.37	3026.23	3029.29	108	0	17
2025.04.07	15:31:00	3029.28	3030.13	3026.95	3026.98	110	0	17
2025.04.07	15:32:00	3026.32	3027.01	3025.62	3025.99	105	0	16
2025.04.07	15:33:00	3025.72	3026.74	3025.12	3025.48	103	0	10
2025.04.07	15:34:00	3025.65	3025.65	3021.57	3021.81	110	0	17
2025.04.07	15:35:00	3021.57	3021.84	3016.11	3016.11	113	0	7
2025.04.07	15:36:00	3016.05	3018.90	3015.71	3018.46	116	0	17
2025.04.07	15:37:00	3018.47	3019.82	3017.54	3018.61	111	0	17
2025.04.07	15:38:00	3018.70	3019.74	3015.12	3015.24	111	0	17
2025.04.07	15:39:00	3015.15	3017.38	3015.01	3016.21	114	0	17
2025.04.07	15:40:00	3016.35	3017.67	3015.60	3015.60	111	0	17
2025.04.07	15:41:00	3015.74	3016.02	3014.70	3015.86	101	0	17
2025.04.07	15:42:00	3015.87	3019.69	3015.73	3019.66	108	0	13
2025.04.07	15:43:00	3019.63	3020.00	3018.31	3019.05	114	0	17
2025.04.07	15:44:00	3019.10	3020.31	3018.33	3020.31	112	0	17
2025.04.07	15:45:00	3020.09	3025.08	3019.64	3023.84	118	0	17
2025.04.07	15:46:00	3024.13	3025.94	3023.20	3025.51	105	0	12
2025.04.07	15:47:00	3025.46	3026.83	3024.64	3025.25	96	0	17
2025.04.07	15:48:00	3025.26	3027.09	3024.87	3026.82	90	0	17
2025.04.07	15:49:00	3027.21	3027.79	3024.95	3026.00	110	0	17
2025.04.07	15:50:00	3026.04	3026.57	3024.11	3025.52	104	0	17
2025.04.07	15:51:00	3025.71	3028.40	3025.71	3027.67	101	0	17
2025.04.07	15:52:00	3028.02	3028.92	3026.91	3027.35	94	0	17
2025.04.07	15:53:00	3027.35	3031.14	3027.11	3030.97	99	0	17
2025.04.07	15:54:00	3031.01	3032.48	3030.48	3032.10	96	0	17
2025.04.07	15:55:00	3032.16	3032.89	3029.86	3030.71	101	0	17
2025.04.07	15:56:00	3030.56	3032.03	3030.06	3031.54	96	0	17
2025.04.07	15:57:00	3031.48	3032.24	3031.09	3031.90	85	0	15
2025.04.07	15:58:00	3031.88	3032.25	3028.31	3029.43	98	0	11
2025.04.07	15:59:00	3029.59	3031.27	3029.01	3031.23	69	0	17
2025.04.07	16:00:00	3030.82	3033.68	3030.30	3031.19	113	0	17
2025.04.07	16:01:00	3031.17	3033.05	3029.07	3031.76	119	0	17
2025.04.07	16:02:00	3031.89	3034.01	3031.11	3031.65	117	0	17
2025.04.07	16:03:00	3031.37	3033.90	3030.97	3032.20	112	0	17
2025.04.07	16:04:00	3031.99	3032.29	3029.64	3029.64	101	0	17
2025.04.07	16:05:00	3029.61	3029.61	3026.59	3027.65	111	0	17
2025.04.07	16:06:00	3027.85	3028.00	3026.75	3027.74	111	0	17
2025.04.07	16:07:00	3027.70	3027.98	3026.24	3026.59	106	0	18
2025.04.07	16:08:00	3026.58	3029.36	3025.94	3029.36	106	0	17
2025.04.07	16:09:00	3029.46	3030.54	3028.37	3030.10	102	0	17
2025.04.07	16:10:00	3029.85	3029.86	3027.20	3027.81	102	0	17
2025.04.07	16:11:00	3027.82	3028.23	3025.39	3025.48	101	0	17
2025.04.07	16:12:00	3025.46	3026.20	3024.55	3025.06	99	0	17
2025.04.07	16:13:00	3025.02	3027.54	3025.02	3027.24	102	0	17
2025.04.07	16:14:00	3027.33	3028.21	3026.97	3027.56	102	0	17
2025.04.07	16:15:00	3027.49	3027.98	3025.56	3026.24	116	0	17
2025.04.07	16:16:00	3026.56	3026.84	3023.55	3023.69	106	0	14
2025.04.07	16:17:00	3023.72	3023.93	3021.42	3022.31	96	0	17
2025.04.07	16:18:00	3022.29	3026.06	3021.79	3026.06	107	0	17
2025.04.07	16:19:00	3026.66	3027.19	3025.55	3026.69	98	0	17
2025.04.07	16:20:00	3026.23	3026.83	3024.50	3026.41	106	0	17
2025.04.07	16:21:00	3026.60	3027.22	3025.85	3026.20	87	0	12
2025.04.07	16:22:00	3025.95	3028.31	3025.50	3027.80	97	0	17
2025.04.07	16:23:00	3027.68	3028.06	3025.72	3025.72	81	0	17
2025.04.07	16:24:00	3025.71	3027.85	3025.48	3027.52	95	0	17
2025.04.07	16:25:00	3027.56	3027.91	3025.87	3027.46	107	0	12
2025.04.07	16:26:00	3027.46	3029.44	3027.07	3027.32	112	0	17
2025.04.07	16:27:00	3027.32	3030.35	3027.20	3027.37	107	0	17
2025.04.07	16:28:00	3027.37	3027.57	3025.38	3025.43	105	0	17
2025.04.07	16:29:00	3025.59	3026.36	3024.06	3024.68	109	0	15
2025.04.07	16:30:00	3024.24	3024.24	3021.40	3022.76	116	0	14
2025.04.07	16:31:00	3022.75	3026.74	3022.09	3022.28	117	0	17
2025.04.07	16:32:00	3022.58	3023.60	3019.79	3020.65	118	0	17
2025.04.07	16:33:00	3020.55	3020.55	3017.25	3017.35	113	0	17
2025.04.07	16:34:00	3017.46	3017.96	3014.53	3014.66	114	0	16
2025.04.07	16:35:00	3014.73	3015.29	3008.41	3009.65	121	0	17
2025.04.07	16:36:00	3009.60	3010.02	3004.42	3008.80	122	0	17
2025.04.07	16:37:00	3009.08	3011.49	3005.63	3007.32	118	0	17
2025.04.07	16:38:00	3007.32	3010.24	3005.85	3008.18	116	0	10
2025.04.07	16:39:00	3007.92	3011.24	3007.28	3010.95	117	0	17
