Date,Open,High,Low,Close,Change(Pips),Change(%),
03/17/2025 20:24,3000.79,3000.83,3000.71,3000.78,-1,0.00,
03/17/2025 20:23,3000.87,3001.01,3000.62,3000.8,-7,0.00,
03/17/2025 20:22,3000.96,3001.08,3000.87,3000.87,-9,0.00,
03/17/2025 20:21,3000.77,3001.21,3000.77,3000.94,17,0.01,
03/17/2025 20:20,3001.2,3001.24,3000.74,3000.75,-45,-0.01,
03/17/2025 20:19,3001.28,3001.52,3001.19,3001.19,-9,0.00,
03/17/2025 20:18,3001.46,3001.47,3001.26,3001.26,-20,-0.01,
03/17/2025 20:17,3001.33,3001.49,3001.21,3001.43,10,0.00,
03/17/2025 20:16,3001.08,3001.42,3001.08,3001.34,26,0.01,
03/17/2025 20:15,3001.11,3001.41,3000.96,3001.14,3,0.00,
03/17/2025 20:14,3001,3001.22,3000.92,3001.18,18,0.01,
03/17/2025 20:13,3000.99,3001.16,3000.84,3001.01,2,0.00,
03/17/2025 20:12,3000.73,3001.24,3000.73,3001.01,28,0.01,
03/17/2025 20:11,3000.88,3001.15,3000.66,3000.73,-15,0.00,
03/17/2025 20:10,3000.97,3001.02,3000.63,3000.89,-8,0.00,
03/17/2025 20:09,3000.94,3001.11,3000.44,3000.94,0,0.00,
03/17/2025 20:08,3000.3,3001.12,3000.3,3000.82,52,0.02,
03/17/2025 20:07,3000.52,3000.52,3000.2,3000.3,-22,-0.01,
03/17/2025 20:06,3000.89,3001.03,3000.53,3000.54,-35,-0.01,
03/17/2025 20:05,3000.72,3000.99,3000.6,3000.88,16,0.01,
03/17/2025 20:04,3000.93,3000.94,3000.59,3000.7,-23,-0.01,
03/17/2025 20:03,3000.63,3001.13,3000.54,3000.94,31,0.01,
03/17/2025 20:02,3000.21,3000.78,3000.21,3000.78,57,0.02,
03/17/2025 20:01,3000.2,3000.32,2999.98,3000.12,-8,0.00,
03/17/2025 20:00,3000.02,3000.49,3000.02,3000.2,18,0.01,
03/17/2025 19:59,3000.51,3000.86,3000.11,3000.11,-40,-0.01,
03/17/2025 19:58,2999.9,3000.48,2999.9,3000.46,56,0.02,
03/17/2025 19:57,3000.14,3000.14,2999.89,2999.89,-25,-0.01,
03/17/2025 19:56,3000.15,3000.24,2999.69,2999.98,-17,-0.01,
03/17/2025 19:55,2999.77,3000.32,2999.77,3000.18,41,0.01,
03/17/2025 19:54,3000.06,3000.06,2999.75,2999.79,-27,-0.01,
03/17/2025 19:53,2999.76,3000.07,2999.72,3000.07,31,0.01,
03/17/2025 19:52,2999.73,2999.91,2999.72,2999.77,4,0.00,
03/17/2025 19:51,2999.56,2999.85,2999.56,2999.72,16,0.01,
03/17/2025 19:50,2999.09,2999.79,2999.09,2999.56,47,0.02,
03/17/2025 19:49,2999.12,2999.23,2999.08,2999.11,-1,0.00,
03/17/2025 19:48,2998.76,2999.1,2998.76,2999.1,34,0.01,
03/17/2025 19:47,2998.96,2999.09,2998.66,2998.77,-19,-0.01,
03/17/2025 19:46,2998.74,2999.17,2998.63,2998.97,23,0.01,
03/17/2025 19:45,2998.51,2998.9,2998.51,2998.78,27,0.01,
03/17/2025 19:44,2998.03,2998.38,2998.03,2998.38,35,0.01,
03/17/2025 19:43,2997.97,2998.43,2997.75,2998.14,17,0.01,
03/17/2025 19:42,2997.92,2998.06,2997.7,2997.98,6,0.00,
03/17/2025 19:41,2998.06,2998.08,2997.73,2997.95,-11,0.00,
03/17/2025 19:40,2997.91,2998.07,2997.67,2998.04,13,0.00,
03/17/2025 19:39,2998.1,2998.31,2997.75,2997.79,-31,-0.01,
03/17/2025 19:38,2998.17,2998.23,2997.91,2998.04,-13,0.00,
03/17/2025 19:37,2998.64,2998.64,2998.14,2998.14,-50,-0.02,
03/17/2025 19:36,2998.76,2998.83,2998.08,2998.59,-17,-0.01,
03/17/2025 19:35,2999.22,2999.22,2998.54,2998.74,-48,-0.02,
03/17/2025 19:34,2999.29,3000.11,2999.17,2999.2,-9,0.00,
03/17/2025 19:33,2998.14,2999.53,2998.02,2999.12,98,0.03,
03/17/2025 19:32,2998.8,2999.07,2998.02,2998.13,-67,-0.02,
03/17/2025 19:31,2999.35,2999.44,2998.81,2998.89,-46,-0.02,
03/17/2025 19:30,2999.15,2999.51,2999.1,2999.24,9,0.00,
03/17/2025 19:29,2999.35,2999.61,2999.02,2999.06,-29,-0.01,
03/17/2025 19:28,2999.39,2999.49,2999.31,2999.35,-4,0.00,
03/17/2025 19:27,2999.8,2999.89,2999.31,2999.38,-42,-0.01,
03/17/2025 19:26,2999.7,3000.1,2999.65,2999.83,13,0.00,
03/17/2025 19:25,2999.81,3000.11,2999.66,2999.74,-7,0.00,
03/17/2025 19:24,3000.03,3000.03,2999.59,2999.88,-15,-0.01,
03/17/2025 19:23,2999.17,3000.03,2999.17,3000.03,86,0.03,
03/17/2025 19:22,2998.81,2999.17,2998.78,2999.17,36,0.01,
03/17/2025 19:21,2998.63,2998.93,2998.61,2998.84,21,0.01,
03/17/2025 19:20,2998.67,2998.74,2998.56,2998.62,-5,0.00,
03/17/2025 19:19,2998.85,2998.87,2998.66,2998.72,-13,0.00,
03/17/2025 19:18,2998.71,2998.91,2998.6,2998.91,20,0.01,
03/17/2025 19:17,2998.9,2998.9,2998.6,2998.76,-14,0.00,
03/17/2025 19:16,2998.79,2998.93,2998.74,2998.93,14,0.00,
03/17/2025 19:15,2998.75,2999.01,2998.69,2998.78,3,0.00,
03/17/2025 19:14,2998.72,2998.93,2998.66,2998.76,4,0.00,
03/17/2025 19:13,2999.04,2999.09,2998.73,2998.75,-29,-0.01,
03/17/2025 19:12,2999.11,2999.15,2998.89,2999.06,-5,0.00,
03/17/2025 19:11,2998.86,2999.12,2998.82,2999.1,24,0.01,
03/17/2025 19:10,2998.82,2999.08,2998.77,2998.88,6,0.00,
03/17/2025 19:09,2998.66,2998.85,2998.54,2998.81,15,0.01,
03/17/2025 19:08,2998.72,2999.02,2998.69,2998.69,-3,0.00,
03/17/2025 19:07,2998.54,2998.9,2998.54,2998.7,16,0.01,
03/17/2025 19:06,2998.66,2998.77,2998.53,2998.53,-13,0.00,
03/17/2025 19:05,2998.27,2999.21,2998.27,2998.67,40,0.01,
03/17/2025 19:04,2999.33,2999.43,2998.23,2998.29,-104,-0.03,
03/17/2025 19:03,2999.12,2999.49,2999.07,2999.31,19,0.01,
03/17/2025 19:02,2999.61,2999.62,2999.03,2999.16,-45,-0.02,
03/17/2025 19:01,2999.74,2999.92,2999.58,2999.62,-12,0.00,
03/17/2025 19:00,2999.39,2999.79,2999.26,2999.62,23,0.01,
03/17/2025 18:59,2999.27,2999.46,2999.13,2999.38,11,0.00,
03/17/2025 18:58,2999.17,2999.47,2999.17,2999.26,9,0.00,
03/17/2025 18:57,2999.6,2999.6,2998.97,2999.16,-44,-0.01,
